[Wheel] dx: 1 | Accumulator: 13
[Wheel] dx: 5 | Accumulator: 18
[Wheel] dx: 4 | Accumulator: 7
[Wheel] dx: 2 | Accumulator: 9
[Wheel] dx: 1 | Accumulator: 10
[Wheel] dx: 4 | Accumulator: 14
[Wheel] dx: 1 | Accumulator: 15
[Wheel] dx: 4 | Accumulator: 4
[Wheel] dx: 2 | Accumulator: 6
[Wheel] dx: 2 | Accumulator: 8
[Telemetry] Touch Raw: 12328 | Baseline: 10457 | Delta: 1871 (Threshold: 1100)
[Wheel] dx: 1 | Accumulator: 9
[Wheel] dx: 2 | Accumulator: 11
[Wheel] dx: 2 | Accumulator: 13
[Wheel] dx: 1 | Accumulator: 14
[Wheel] dx: 3 | Accumulator: 17
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 3 | Accumulator: 6
[Wheel] dx: 5 | Accumulator: 11
[Wheel] dx: 1 | Accumulator: 12
[Wheel] dx: 1 | Accumulator: 13
[Wheel] dx: 2 | Accumulator: 15
[Wheel] dx: 2 | Accumulator: 2
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
[Wheel] dx: 1 | Accumulator: 6
[Wheel] dx: 1 | Accumulator: 7
Double Tap Detected!
Switched Mode to: SCROLL
[Wheel] dx: 2 | Accumulator: 2
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: -1 | Accumulator: 3
[Wheel] dx: 4 | Accumulator: 7
[Wheel] dx: 1 | Accumulator: 8
[Wheel] dx: 1 | Accumulator: 9
[Wheel] dx: 1 | Accumulator: 10
[Wheel] dx: 1 | Accumulator: 1
[Wheel] dx: 1 | Accumulator: 2
[Wheel] dx: 2 | Accumulator: 4
[Wheel] dx: 2 | Accumulator: 6
[Wheel] dx: 2 | Accumulator: 8
[Wheel] dx: 1 | Accumulator: 9
[Wheel] dx: 2 | Accumulator: 11
[Wheel] dx: 2 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: 3 | Accumulator: 7
[Wheel] dx: 2 | Accumulator: 9
[Wheel] dx: 1 | Accumulator: 10
[Wheel] dx: 3 | Accumulator: 3
[Wheel] dx: 2 | Accumulator: 5
[Wheel] dx: -1 | Accumulator: 4
[Wheel] dx: 2 | Accumulator: 6
[Wheel] dx: 3 | Accumulator: 9
[Wheel] dx: 3 | Accumulator: 12
[Wheel] dx: 3 | Accumulator: 5
[Wheel] dx: 1 | Accumulator: 6
[Wheel] dx: 5 | Accumulator: 11
[Wheel] dx: 3 | Accumulator: 4
[Wheel] dx: 2 | Accumulator: 6
[Wheel] dx: 2 | Accumulator: 8
[Wheel] dx: 1 | Accumulator: 9
[Wheel] dx: 1 | Accumulator: 10
[Wheel] dx: 2 | Accumulator: 2
[Wheel] dx: 2 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
[Wheel] dx: 1 | Accumulator: 6
[Wheel] dx: 1 | Accumulator: 7
[Wheel] dx: 1 | Accumulator: 8
[Wheel] dx: 1 | Accumulator: 9
[Wheel] dx: 1 | Accumulator: 10
[Wheel] dx: 1 | Accumulator: 1
[Wheel] dx: 1 | Accumulator: 2
[Wheel] dx: -1 | Accumulator: 1
[Telemetry] Touch Raw: 10670 | Baseline: 10457 | Delta: 213 (Threshold: 1100)
Double Tap Detected!
Switched Mode to: VOLUME
[Wheel] dx: -3 | Accumulator: -3
[Wheel] dx: 1 | Accumulator: -2
[Wheel] dx: 4 | Accumulator: 2
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 2 | Accumulator: 5
[Wheel] dx: 4 | Accumulator: 9
[Wheel] dx: 4 | Accumulator: 13
[Wheel] dx: 3 | Accumulator: 16
[Wheel] dx: 2 | Accumulator: 18
[Wheel] dx: 3 | Accumulator: 21
[Wheel] dx: 2 | Accumulator: 23
[Wheel] dx: 3 | Accumulator: 26
[Wheel] dx: 2 | Accumulator: 3
